序号[l][#]	道具名称[l][#]	描述[l]	短描述	使用和产出说明	作用效果[l]	每日限制使用次数[l]	道具类型，根据效果分类[l][#]	转生次数[l]	使用等级[l]	使用者类型[l]	职业限制	物品等级[l]	出售价格[l]	道具品质[l][#]	道具图标[l]	掉落图标[l][#]	叠加上限[l]	无法丢弃摧毁(0可以、1不可以)[l]	有效时间（单位分钟）[l]	是否广播[l]	广播id	界面显示道具品质[l]	是否掉落公告	是否可使用[l]	英雄使用等级	神龙遗迹内是否可使用[l]（0是可以，1是不可以）	掉落特效[#]	红点特效[l]	排序(从大到小)	获得后自动使用[l]	背包类型（0普通1印记）[l]
5001	铜矿	#ffcc00|【杂货物品】|n|#bfbfbf|挖掘矿石得到的材料|n|#bfbfbf|在|#00ff00|盟重城冷小月|#bfbfbf|处回收可获得|#00ff00| 500 |#bfbfbf|绑定金币|n|#bfbfbf|挖矿时在挖矿界面出售，可获得|#00ff00|大量绑定金币|n|#4ba0de|【矿洞】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	601	0	0	0	0	0	0	1	tongkuang	tongkuang	100	0	0	0	0	1	0	0	0	1	0	0	14999	0	0
5002	铁矿	#ffcc00|【杂货物品】|n|#bfbfbf|挖掘矿石得到的材料|n|#bfbfbf|在|#00ff00|盟重城冷小月|#bfbfbf|处回收可获得|#00ff00| 1000 |#bfbfbf|绑定金币|n|#bfbfbf|挖矿时在挖矿界面出售，可获得|#00ff00|大量绑定金币|n|#4ba0de|【矿洞】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	601	0	0	0	0	0	0	1	tiekuang	tiekuang	100	0	0	0	0	1	0	0	0	1	0	0	14998	0	0
5003	银矿	#ffcc00|【杂货物品】|n|#bfbfbf|挖掘矿石得到的材料|n|#bfbfbf|在|#00ff00|盟重城冷小月|#bfbfbf|处回收可获得|#00ff00| 2000 |#bfbfbf|绑定金币|n|#bfbfbf|挖矿时在挖矿界面出售，可获得|#00ff00|大量绑定金币|n|#4ba0de|【矿洞】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	601	0	0	0	0	0	0	2	yinkuang	yinkuang	100	0	0	0	0	2	0	0	0	1	0	0	14997	0	0
5004	金矿	#ffcc00|【杂货物品】|n|#bfbfbf|挖掘矿石得到的材料|n|#bfbfbf|在|#00ff00|盟重城冷小月|#bfbfbf|处回收可获得|#00ff00| 5000 |#bfbfbf|绑定金币|n|#bfbfbf|挖矿时在挖矿界面出售，可获得|#00ff00|大量绑定金币|n|#4ba0de|【矿洞】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	601	0	0	0	0	0	0	3	jinkuang	jinkuang	100	0	0	0	0	3	0	0	0	1	0	0	14996	0	0
5005	锆石	#ffcc00|【杂货物品】|n|#bfbfbf|挖掘矿石得到的材料|n|#bfbfbf|在|#00ff00|盟重城冷小月|#bfbfbf|处回收可获得|#00ff00| 10000 |#bfbfbf|绑定金币|n|#bfbfbf|挖矿时在挖矿界面出售，可获得|#00ff00|大量绑定金币|n|#4ba0de|【矿洞】		#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	601	0	0	0	0	0	0	24	zuanshi	zuanshi	100	0	0	0	0	24	0	0	0	1	0	0	14995	0	0
6000	一一一礼包类			#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	0	0	0	0	0	1	0	1	ng	ng	1	0	0	0	0	1	0	0	0	1	0	0	14000	0	0
6001	霸者会长俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|占城行会的会长奖励|n|#bfbfbf|打开礼包可获得以下奖励：|n|#00ff00|5000元宝x10|n|#00ff00|龙魂碎片x10|n|#00ff00|祝福宝石x20	#bfbfbf|在沙城争霸活动中，占城行会的会长奖励	#ffff90|按Shift+左键发送至聊天框		0	809	0	0	0	0	0	0	26	flb_bzhz	flb_bzhz	1	0	0	0	0	26	0	0	0	0	0	0	13999	0	0
6002	霸者猛将俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|占领沙城行会中【战斗排名第1名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x8|n|#00ff00|龙魂碎片x8|n|#00ff00|祝福宝石x16	#bfbfbf|在沙城争霸活动中，占领沙城行会中【战斗排名第1名】成员的奖励	#ffff90|按Shift+左键发送至聊天框		0	809	0	0	0	0	0	0	25	flb_bzmj	flb_bzmj	1	0	0	0	0	25	0	0	0	0	0	0	13998	0	0
6003	霸者强者俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|占领沙城行会中【战斗排名第2-3名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x6|n|#00ff00|龙魂碎片x6|n|#00ff00|祝福宝石x12	#bfbfbf|在沙城争霸活动中，占领沙城行会中【战斗排名第2-3名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	24	flb_bzqz	flb_bzqz	1	0	0	0	0	24	0	0	0	0	0	0	13997	0	0
6004	霸者勇者俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|占领沙城行会中【战斗排名第4-5名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x4|n|#00ff00|龙魂碎片x4|n|#00ff00|祝福宝石x8	#bfbfbf|在沙城争霸活动中，占领沙城行会中【战斗排名第4-5名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	3	flb_bzyz	flb_bzyz	1	0	0	0	0	3	0	0	0	0	0	0	13996	0	0
6005	枭雄会长俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第一行会的会长奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x8|n|#00ff00|龙魂碎片x8|n|#00ff00|祝福宝石x16	#bfbfbf|在沙城争霸活动中，战斗总分第一行会会长的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	25	flb_xxhz	flb_xxhz	1	0	0	0	0	25	0	0	0	0	0	0	13995	0	0
6006	枭雄猛将俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第一行会中【战斗排名第1名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x6|n|#00ff00|龙魂碎片x6|n|#00ff00|祝福宝石x12	#bfbfbf|在沙城争霸活动中，战斗总分第一行会中【战斗排名第1名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	24	flb_xxmj	flb_xxmj	1	0	0	0	0	24	0	0	0	0	0	0	13994	0	0
6007	枭雄强者俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第一行会中【战斗排名第2-3名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x4|n|#00ff00|龙魂碎片x4|n|#00ff00|祝福宝石x8	#bfbfbf|在沙城争霸活动中，战斗总分第一行会中【战斗排名第2-3名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	3	flb_xxqz	flb_xxqz	1	0	0	0	0	3	0	0	0	0	0	0	13993	0	0
6008	枭雄勇者俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第一行会中【战斗排名第4-5名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x3|n|#00ff00|龙魂碎片x3|n|#00ff00|祝福宝石x6	#bfbfbf|战斗总分第一行会中【战斗排名第4-5名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	2	flb_xxyz	flb_xxyz	1	0	0	0	0	2	0	0	0	0	0	0	13992	0	0
6009	英杰会长俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第二行会的会长奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x6|n|#00ff00|龙魂碎片x6|n|#00ff00|祝福宝石x12	#bfbfbf|在沙城争霸活动中，战斗总分第二行会会长的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	24	flb_yjhz	flb_yjhz	1	0	0	0	0	24	0	0	0	0	0	0	13991	0	0
6010	英杰猛将俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第二行会中【战斗排名第1名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x4|n|#00ff00|龙魂碎片x4|n|#00ff00|祝福宝石x8	#bfbfbf|在沙城争霸活动中，战斗总分第二行会中【战斗排名第1名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	3	flb_yjmj	flb_yjmj	1	0	0	0	0	3	0	0	0	0	0	0	13990	0	0
6011	英杰强者俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第二行会中【战斗排名第2-3名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x3|n|#00ff00|龙魂碎片x3|n|#00ff00|祝福宝石x6	#bfbfbf|在沙城争霸活动中，战斗总分第二行会中【战斗排名第2-3名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	2	flb_yjqz	flb_yjqz	1	0	0	0	0	2	0	0	0	0	0	0	13989	0	0
6012	英杰勇者俸禄宝箱	#ffc000|【决战沙城】|n|#bfbfbf|战斗总分第二行会中【战斗排名第4-5名】成员的奖励|n|#bfbfbf|打开礼包可获得以下奖励|n|#00ff00|5000元宝x2|n|#00ff00|龙魂碎片x2|n|#00ff00|祝福宝石x4	#bfbfbf|在沙城争霸活动中，战斗总分第二行会中【战斗排名第4-5名】成员的奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	809	0	0	0	0	0	0	2	flb_yjyz	flb_yjyz	1	0	0	0	0	2	0	0	0	0	0	0	13988	0	0
6100	无敌内功宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|君临天下|#bfbfbf|后免费领取，|n|#bfbfbf|打开礼包可获得：|n|#00ff00|舒经活络丸x2500|n|#00ff00|一级金针x32|n|#00ff00|二级金针x40	#bfbfbf|成为|#00ff00|君临天下|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx10	bx10	1	0	0	0	0	25	0	0	0	0	0	1	13900	0	0
6101	名扬四海宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|名扬四海|#bfbfbf|后免费领取，|n|#bfbfbf|打开宝箱可获得|n|#00ff00|一转材料：|n|#bfbfbf|天精岩【1转】x2、地狱火【1转】x2|n|#00ff00|二转材料：|n|#bfbfbf|天精岩【2转】x4、地狱火【2转】x4|n|#00ff00|三转材料：|n|#bfbfbf|天精岩【3转】x6、地狱火【3转】x6	#bfbfbf|成为|#00ff00|名扬四海|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	zztq_mysh	zztq_mysh	1	0	0	0	0	25	1	16000	0	0	0	1	13899	0	0
6102	登峰造极宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|登峰造极|#bfbfbf|后免费领取，|n|#bfbfbf|打开宝箱可获得|n|#00ff00|四转材料：|n|#bfbfbf|天精岩【4转】x8、地狱火【4转】x8	#bfbfbf|成为|#00ff00|武林至尊|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	zztq_dfzj	zztq_dfzj	1	0	0	0	0	25	1	16001	0	0	0	1	13898	0	0
6103	武林至尊宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|武林至尊|#bfbfbf|后免费领取，|n|#bfbfbf|打开宝箱可获得|n|#00ff00|内功道具：|n|#bfbfbf|一级金针x64|n|#00ff00|英雄技能书：|n|#bfbfbf|倚天辟地-英雄|n|#00ff00|强化道具：|n|#bfbfbf|祝福宝石x100	#bfbfbf|成为|#00ff00|武林至尊|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	zztq_wlzz	zztq_wlzz	1	0	0	0	0	25	1	16002	0	0	0	1	13897	0	0
6104	最强王者宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|最强王者|#bfbfbf|后免费领取，|n|#bfbfbf|打开宝箱可获得|n|#00ff00|五转材料：|n|#bfbfbf|天精岩【5转】x10、地狱火【5转】x10|n|#00ff00|内功道具：|n|#bfbfbf|二级金针x40|n|#00ff00|装备：|n|#bfbfbf|暴击宝珠⑥、韧性勋章⑥	#bfbfbf|成为|#00ff00|最强王者|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	zztq_zqwz	zztq_zqwz	1	0	0	0	0	25	1	16003	0	0	0	1	13896	0	0
6105	独孤求败宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|独孤求败|#bfbfbf|后免费领取，|n|#bfbfbf|打开宝箱可获得|n|#00ff00|六转材料：|n|#bfbfbf|天精岩【6转】x12、地狱火【6转】x12|n|#00ff00|内功道具：|n|#bfbfbf|二级金针x100|n|#00ff00|强化道具：|n|#bfbfbf|祝福宝石x300|n|#00ff00|技能升级道具：|n|#bfbfbf|技能书册x120	#bfbfbf|成为|#00ff00|独孤求败|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	zztq_dgqb	zztq_dgqb	1	0	0	0	0	25	1	16004	0	0	0	1	13895	0	0
6106	君临天下宝箱	#ffc000|【赞助礼包】|n|#bfbfbf|赞助特权达到|#00ff00|君临天下|#bfbfbf|后免费领取，|n|#bfbfbf|打开宝箱可获得|n|#00ff00|七转材料：|n|#bfbfbf|天精岩【7转】x14、地狱火【7转】x14|n|#00ff00|内功道具：|n|#bfbfbf|三级金针x48|n|#00ff00|强化道具：|n|#bfbfbf|祝福宝石x600、灵魂宝石X30	#bfbfbf|成为|#00ff00|君临天下|#bfbfbf|后免费领取	#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	zztq_jltx	zztq_jltx	1	0	0	0	0	25	1	16005	0	0	0	1	13894	0	0
6107	『蚩尤』防具宝箱	#ffcc00|【『蚩尤』防具宝箱】|n|#00ffd2|打开后随机获得『蚩尤』头盔、手镯、鞋子中的一件！|n|#bfbfbf|打开宝箱可随机获得以下三件神装中的一件：|n|#00ff00|『蚩尤』万劫神盔|n|#00ff00|『蚩尤』万劫神镯|n|#00ff00|『蚩尤』万劫神靴		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	zztq_sz	zztq_sz	100	0	0	0	0	25	0	0	0	0	0	1	13893	0	0
6108	『蚩尤』饰品宝箱	#ffcc00|【『蚩尤』饰品宝箱】|n|#00ffd2|打开后随机获得『蚩尤』项链、戒指、腰带中的一件！|n|#bfbfbf|打开宝箱可随机获得以下三件神装中的一件：|n|#00ff00|『蚩尤』万劫神链|n|#00ff00|『蚩尤』万劫神戒|n|#00ff00|『蚩尤』万劫神带		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	zztq_sz	zztq_sz	100	0	0	0	0	25	0	0	0	0	0	1	13892	0	0
6109	神装残片宝箱	#ffcc00|【神装残片宝箱】|n|#00ffd2|打开后随机获得一件万劫神装残片！|n|#bfbfbf|打开宝箱可随机获得以下神装残片中的一个：|n|#00ff00|[残]万劫神兵|n|#00ff00|[残]万劫神盔|n|#00ff00|[残]万劫神链|n|#00ff00|[残]万劫神甲(男)|n|#00ff00|[残]万劫神甲(女)|n|#00ff00|[残]万劫神镯|n|#00ff00|[残]万劫神戒|n|#00ff00|[残]万劫神带|n|#00ff00|[残]万劫神靴		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	bx_bs6	bx_bs6	100	0	0	0	0	25	1	0	0	0	0	1	13891	0	0
6110	神器精魄自选宝箱	#ffcc00|【自选宝箱】|n|#00ffd2|打开后可在四种神器精魄中任选一种！|n|#bfbfbf|打开宝箱可任选以下神器精魄中的一种：|n|#00ff00|神兵精魄x5|n|#00ff00|神甲精魄x5|n|#00ff00|神饰精魄x5|n|#00ff00|神装精魄x5		#ffff90|按Shift+左键发送至聊天框	287:1:5:0|288:1:5:0|289:1:5:0|290:1:5:0	0	814	0	0	0	0	0	0	25	bx_bs6	bx_bs6	100	0	0	0	0	25	1	0	0	0	0	1	13890	0	0
6111	宝物碎片宝箱	#ffcc00|【宝物碎片宝箱】|n|#00ffd2|打开后随机获得血符碎片*10、护盾碎片*10、令牌碎片*10或龙魂碎片*10中的一种！|n|#bfbfbf|打开宝箱可随机获得其中的一种：|n|#00ff00|血符碎片*10|n|#00ff00|护盾碎片*10|n|#00ff00|令牌碎片*10|n|#00ff00|龙魂碎片*10		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	bx_bs8	bx_bs8	100	0	0	0	0	25	1	0	0	0	0	1	13889	0	0
6112	属性药水宝箱	#ffcc00|【属性药水宝箱】|n|#00ffd2|打开后可获得生命神油*12、伤害神油*12和邪恶药剂*12！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|生命神油*12|n|#00ff00|伤害神油*12|n|#00ff00|邪恶药剂*12		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_bs9	bx_bs9	100	0	0	0	0	25	1	0	0	0	0	1	13888	0	0
6113	高级材料宝箱	#ffcc00|【高级材料宝箱】|n|#00ffd2|打开后可获得技能书册*12、舒筋活络丹*20和一级金针*20！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|技能书册*12|n|#00ff00|舒筋活络丹*20|n|#00ff00|一级金针*20		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_cl_cb	bx_cl_cb	100	0	0	0	0	25	1	0	0	0	0	1	13887	0	0
6114	强化宝石宝箱	#ffcc00|【强化宝石宝箱】|n|#00ffd2|打开后可获得祝福宝石*50、灵魂宝石*10和装备保护油*4！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|祝福宝石*50|n|#00ff00|灵魂宝石*10|n|#00ff00|装备保护油*4		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_cl_ktc	bx_cl_ktc	100	0	0	0	0	25	1	0	0	0	0	1	13886	0	0
6115	高级神石宝箱	#ffcc00|【高级神石宝箱】|n|#00ffd2|打开后可获得『蚩尤』神石*10、四级女娲神石*5和10000元宝*10！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|『蚩尤』神石*10|n|#00ff00|四级女娲神石*5|n|#00ff00|10000元宝*10		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_cl_lhp	bx_cl_lhp	100	0	0	0	0	25	1	0	0	0	0	1	13885	0	0
6116	神器进阶宝箱	#ffcc00|【神器进阶宝箱】|n|#00ffd2|打开后可获得神装残片宝箱*1、神器精魄自选宝箱*1和五级女娲神石*4！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|神装残片宝箱*1|n|#00ff00|神器精魄自选宝箱*1|n|#00ff00|五级女娲神石*4		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_cl_lsc	bx_cl_lsc	100	0	0	0	0	25	1	0	0	0	0	1	13884	0	0
6117	[残]防具宝箱	#ffcc00|【[残]防具宝箱】|n|#00ffd2|打开后随机获得[残]头盔、[残]手镯、[残]鞋子中的一件！|n|#bfbfbf|打开宝箱可随机获得以下三件中的一件：|n|#00ff00|[残]万劫神盔*1|n|#00ff00|[残]万劫神镯*1|n|#00ff00|[残]万劫神靴*1		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	bx_lz7	bx_lz7	100	0	0	0	0	25	1	0	0	0	0	1	13883	0	0
6118	[残]饰品宝箱	#ffcc00|【[残]饰品宝箱】|n|#00ffd2|打开后随机获得[残]项链、[残]戒指、[残]腰带中的一件！|n|#bfbfbf|打开宝箱可随机获得以下三件中的一件：|n|#00ff00|[残]万劫神链*1|n|#00ff00|[残]万劫神戒*1|n|#00ff00|[残]万劫神带*1		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	bx_lz8	bx_lz8	100	0	0	0	0	25	1	0	0	0	0	1	13882	0	0
6119	经络礼包	#ffcc00|【经络礼包】|n|#00ffd2|打开后可以获得舒筋活络丹*80、一级金针*10！|n|#bfbfbf|打开礼包可以获得：|n|#00ff00|舒筋活络丹*80|n|#00ff00|一级金针*10		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	lb4	lb4	100	0	0	0	0	25	1	0	0	0	0	1	13881	0	0
6120	宝物礼包	#ffcc00|【宝物礼包】|n|#00ffd2|打开后可以获得血符碎片*60、护盾碎片*60、令牌碎片*60和龙魂碎片*60！|n|#bfbfbf|打开礼包可以获得：|n|#00ff00|血符碎片*60|n|#00ff00|护盾碎片*60|n|#00ff00|令牌碎片*60|n|#00ff00|龙魂碎片*60		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	lb5	lb5	100	0	0	0	0	25	1	0	0	0	0	1	13880	0	0
6121	强化礼包	#ffcc00|【强化礼包】|n|#00ffd2|打开后可以获得10000元宝*20、祝福宝石*200、灵魂宝石*30和装备保护油*20！|n|#bfbfbf|打开礼包可以获得：|n|#00ff00|10000元宝*20|n|#00ff00|祝福宝石*200|n|#00ff00|灵魂宝石*30|n|#00ff00|装备保护油*20		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	lb6	lb6	100	0	0	0	0	25	1	0	0	0	0	1	13879	0	0
6122	神装礼包	#ffcc00|【神装礼包】|n|#00ffd2|打开后可以获得[残]防具宝箱*3、[残]饰品宝箱*3、『蚩尤』神石*12、金刚钻*6、6级女娲神石*6和神装精魄自选宝箱*6！|n|#bfbfbf|打开礼包可以获得：|n|#00ff00|[残]防具宝箱*3|n|#00ff00|[残]饰品宝箱*3|n|#00ff00|『蚩尤』神石*12|n|#00ff00|金刚钻*6|n|#00ff00|6级女娲神石*6|n|#00ff00|神装精魄自选宝箱*6		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	lb7	lb7	100	0	0	0	0	25	1	0	0	0	0	1	13878	0	0
6123	经络宝箱	#ffcc00|【经络宝箱】|n|#00ffd2|打开后可获得舒经活络丹*32和金针*4！		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_jm	bx_jm	100	0	0	0	0	25	1	0	0	0	0	1	13884	0	0
6124	神器升阶宝箱	#ffcc00|【神器进阶宝箱】|n|#00ffd2|打开后可获得蚩尤神石*2、神器精魄自选宝箱*1！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|蚩尤神石*2|n|#00ff00|神器精魄自选宝箱*1		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_sq	bx_sq	100	0	0	0	0	25	1	0	0	0	0	1	13884	0	0
6125	强化宝箱	#ffcc00|【强化宝箱】|n|#00ffd2|打开后可获得祝福宝石*100、灵魂宝石*25和装备保护油*10！		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_qh	bx_qh	100	0	0	0	0	25	1	0	0	0	0	1	13884	0	0
6126	圣器材料宝箱	#ffcc00|【圣器材料宝箱】|n|#00ffd2|打开后可获得圣器灵石*30、圣器灵粹*30、圣器玄晶*30和圣器碎片随机宝箱*30！|n|#bfbfbf|打开宝箱可获得：|n|#00ff00|圣器灵石*30|n|#00ff00|圣器灵粹*30|n|#00ff00|圣器玄晶*30|n|#00ff00|圣器碎片随机宝箱*30		#ffff90|按Shift+左键发送至聊天框		0	801	0	0	0	0	0	0	25	bx_jc	bx_jc	100	0	0	0	0	25	1	0	0	0	0	1	13884	0	0
6127	圣器碎片随机宝箱	#ffcc00|【圣器碎片随机宝箱】|n|#00ffd2|打开后随机获得月光宝盒碎片*1、降魔杵碎片*1、落魂钟碎片*1、芭蕉扇碎片*1、昆仑镜碎片*1、定海神珠碎片*1、番天印碎片*1、玲珑塔碎片*1、乾坤伞碎片*1或盘古幡碎片*1中的一种！|n|#bfbfbf|打开宝箱可随机获得其中的一种：|n|#00ff00|月光宝盒碎片*1|n|#00ff00|降魔杵碎片*1|n|#00ff00|落魂钟碎片*1|n|#00ff00|芭蕉扇碎片*1|n|#00ff00|昆仑镜碎片*1|n|#00ff00|定海神珠碎片*1|n|#00ff00|番天印碎片*1|n|#00ff00|玲珑塔碎片*1|n|#00ff00|乾坤伞碎片*1|n|#00ff00|盘古幡碎片*1		#ffff90|按Shift+左键发送至聊天框		0	802	0	0	0	0	0	0	25	bx_cl_lsc	bx_cl_lsc	100	0	0	0	0	25	1	0	0	0	0	1	13884	0	0
6128	五转材料自选宝箱	#ffcc00|【自选宝箱】|n|#00ffd2|打开后可在两种五转转生材料中任选一种！|n|#bfbfbf|打开宝箱可任选以下转生材料中的一种：|n|#00ff00|天精岩【5转】x1|n|#00ff00|地狱火【5转】x1		#ffff90|按Shift+左键发送至聊天框	205:1:1:0|225:1:1:0	0	814	0	0	0	0	0	0	25	bx_cl_lsc	bx_cl_lsc	100	0	0	0	0	25	1	0	0	0	0	1	13890	0	0
6129	四象生肖自选宝箱	#ffcc00|【自选宝箱】|n|#00ffd2|打开后可在十二种四象生肖中任选一种！|n|#bfbfbf|打开宝箱可任选以下生肖中的一种：|n|#00ff00|[四象]子鼠の印x1|n|#00ff00|[四象]丑牛の印x1|n|#00ff00|[四象]辰龙の印x1|n|#00ff00|[四象]酉鸡の印x1|n|#00ff00|[四象]寅虎の印x1|n|#00ff00|[四象]亥猪の印x1|n|#00ff00|[四象]巳蛇の印x1|n|#00ff00|[四象]申猴の印x1|n|#00ff00|[四象]卯兔の印x1|n|#00ff00|[四象]戌狗の印x1|n|#00ff00|[四象]午马の印x1|n|#00ff00|[四象]未羊の印x1		#ffff90|按Shift+左键发送至聊天框	3010040:2:1:0|3020040:2:1:0|3030040:2:1:0|3040040:2:1:0|3050040:2:1:0|3060040:2:1:0|3070040:2:1:0|3080040:2:1:0|3090040:2:1:0|3100040:2:1:0|3110040:2:1:0|3120040:2:1:0	0	814	0	0	0	0	0	0	25	bx_cl_lsc	bx_cl_lsc	100	0	0	0	0	25	1	0	0	0	0	1	13890	0	0
